"label","gender","profession","ideology_binary","ideology_multiclass","tweet"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","¿Pero qué maravilla estoy leyendo y por qué no he llegado antes a Maggie O'Farrell? Novela coral bien tramada, delicias estilísticas que sorprenden, narrativa genialmente dosificada, que atrapa, delicadeza y brutalidad danzando en armonía, tacto, humanidad, agudeza. Y veraniega."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Con 80 estudiantes por clase, no es fácil.🤔. A 15 min. de exposición cada uno: 20 horas. Una semana entera, si dedicas 4h diarias."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","En Securitas Direct dicen que hoy, si bajas a por el pan, igual te okupan la casa. Pero lo cierto es que yo me he dejado todo el día la mochila en la cesta de la bici, aparcada en plena calle, y por la noche aquí siguen. Que también somos esto, Madrid, que a veces se nos olvida."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Se podrá descargar gratis en cuanto l@s compañer@s del archivo la suban. La colgaré aquí y te envío copia. 😉"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Pues nos está quedando una esfera pública que da unas ganas locas de encerrarse en la privada, ¿no?"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Informar sobre barbaries y sentir que sirve de poco. Presiones internas. Amenazas externas. Denuncias. . Exposición pública. . ¿Por qué hay ""muchas compañeras quemadas que quieren dejar su trabajo en [HASHTAG] o lo hacen asqueadas""?👇🏻."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user De la comunicación sin más, diría. No en compol, ni en consultoras privadas, claro, donde impera un positivismo pragmático que no desprecia hacer pleno uso de estudios cualitativos e interpretativos, donde más sirven. Sí en la academia, sin duda."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Hasta cuándo seguiremos con las horrorosas portadas oficiales, todas iguales."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","De lo mejor que se puede leer hoy para entender, sin aspavientos, el presente, la historia reciente y el futuro inmediato de las opciones reales que va a tener la izquierda en las próximas convocatorias electorales. Lectura más que recomendable. 👇🏻"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","No me puedo creer que nadie haya inventado aún el cowork con guardería, o piscina de bolas/animación infantil con mesa a la vista para que papi curre. ¿Qué hacéis cuando llega un deadline y no hay escuela infantil ni abuel@s de guardia?😰. [HASHTAG]"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Los que defendéis contra viento y marea que Pablo Iglesias no aludía a [POLITICIAN] cuando usaba las palabras ""miserable"", ""cobarde"" y ""estúpido"", podéis tranquilizaros. Veréis qué pronto sale el líder y lo aclara todo desde su podcast, y santas pascuas. Ahora. Ahorita. Ya de ya."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user ""Es el alcalde el que quiere que sean los vecinos el alcalde"""
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Para la Sanidad de Madrid, muy privatizada, no hay análisis científicos comparativos similares, por la sencilla razón de que los datos no están publicados, hay un problema de opacidad. Las empresas privadas no son transparentes, revelan mucha menos información. Busque Ud. alguno."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Hablo de estos ejemplos, sin ir más lejos. ¿Los periodistas son excelentes u horripilantes según nos traten?🤔."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Pues, os guste o no, la posición oficial de Podemos ahora mismo es que Yolanda es ""miserable, cobarde y estúpida"", y también que les debe respeto y que les vaya haciendo un hueco bien alto en las listas. Que todo lo demás es ser cloaca. Machoalfismo pasivo-agresivo, de manual."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","En el contexto cultural actual, a quien más dañan los vomitivos insultos proferidos ayer contra [POLITICIAN], es a quienes callan, a quienes los dicen, y sobre todo a la institución que permite decirlos y agotar el turno de palabra. Solidaridad total con quien los sufre. Basta ya."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Por lo que veo... un poco. Pero no pretendía!"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Pero ñoña bien, tampoco insulsa. Si te gusta el cine surcoreano, es el prota de Parásitos, y está fantástico. Le fue muy bien en Cannes y San Sebastián. Engancha, con recursos facilones, pero lo hace. No es una peli para analizar, es para llorársela toda."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Ambos. Lucía Méndez ha dejado de coquetear tanto con la ""nueva política"" y Podemos (es decir, PIT, porque ¿hay diferencia?) ha pasado a confrontar individual y personalmente con much@s periodistas y medios que hasta hace poco consideraba cercan@s e invitaba a sus tertulias."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Por qué es importante (aunque poco habitual) que lxs periodistas estemos sindicadxs. El hilo.👇🏻"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","De elogio transversal del encuentro, del abrazo, del brindis y hasta el villancico, frente a la digitalización de las relaciones sociales al servicio de la economía de la atención, que nos expropia nuestro bien más preciado."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user ""Progreso"" hacia el precipicio.🤦🏻. Y sin embargo, en parte acierta: disputar y redefinir (y hacerse con) la idea de progreso es clave para el ecologismo político. Sigue siendo su Talón de Aquiles discursivo, por más que se esfuerza en guarnecerlo."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Quienes hoy denigráis a Lucía Méndez como si fuera una especie de ""militante anti-podemita"", ¿no os acordáis de cuando Pablo Iglesias recomendaba sus análisis, le daba entrevistas clave y la invitaba a sus tertulias? ¡Qué poca memoria y qué cambio de cultura mediática en Podemos!"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Ha sido un privilegio dirigir esta tesis. He disfrutado y aprendido mucho, y hemos trabado una relación académica para toda la vida. Gracias a los profesores @user  Rodrigo Castro (@user ), @user  y Luis Nitrihual (@user ), por sus apreciaciones."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","No olvidemos que la última vez que Iglesias se presentó a elecciones como candidato en 2021, [POLITICIAN] le adelantó en más de 350 mil votos, y él se retiró diciendo ""no contribuyo a sumar… no soy una figura que pueda contribuir a ganar"". Que igual no se equivocaba."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user De los ""cuidados"" decía yo. Pero también. Un abrazo."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","La fiesta de la Navidad puede vivirse de muchas maneras. Sé que muchos, en ese espacio simbólico que llamamos Izquierda, no pueden evitar vivirlo como imposición cínica, ""falsa"", consumista, de carácter patriarcal, religioso y colonial.. 'Hilillo' va...🧵"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","La Superliga es el lobo, que hoy se disfraza de abuelita para intentar engañar al fútbol europeo, pero SU nariz y SUS dientes son muy grandes, ¿cuatro divisiones en europa? Claro la primera para ellos, como en la reforma de 2019.¿Gobierno de los clubes? Claro solo de los grandes"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Esto pasa cuando los tan repetidos Valores son de ""boquilla"", ""bien queda"" ""cosméticos"" ... y no se cree en ellos."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Resumen de las mejores ""jugadas"" de la primera jornada de la Liga Genuine Santander celebrada en Tarragona. Gracias @user 🙏. Gracias @user  por acogernos🙏Gracias a los 300 voluntarios🙏. A todos 🙏. ¡COMPARTIR ANTES QUE COMPETIR!. [HASHTAG] 👇"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Intensas jornadas de trabajo, estuvimos con el Ministro de Economía de EAU🇦🇪 organizador de Investopia, con el jefe de Gobierno del Emirato de Sharjah. Firmamos un gran acuerdo Galaxy Rider. Celebramos por primera vez una Asamblea General de la @user fuera de España. etc 👇👌"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Oberva estos datos @user  encontrarás respuestas a muchas preguntas que te haces. Hay que informarse, estudiar, reflexionar...sacar conclusiónes y actuar. En temas tan serios e importantes para todos los clubes una actuación por impulsos lleva a la ruina a todos. 🤦🤦"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","La RFEF saca un comunicado en el que no niegan haberme espiado con micros ocultos utilizando como agentes a sus propios directivos. Su preocupación tiene más que ver con el Mundial 2030. Surrealista. (4)"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","23 días han pasado desde que fuí grabado por @user 🤦‍♂️ siguiendo intrucciones de Rubi 🤒(alias la grabadora),¿hasta cuándo este ""futbol policial""? Interesante lectura 👇. Gerardo González Otero: ""García Caba miente, la reunión con Tebas la pidió él"""
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Esta es la realidad, pese a que a alguno le duela. 👇👇👇"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Rubialejo hoy en @user  sobre CVC oculta que ya hay 2 informes de la abogacía del estado, el último 1-7-2022, que señala que la operación es LEGAL, olvida que 38 clubes profesionales están de acuerdo...claro con tantas reuniones/barbacoa con ""amigas"", no los ha debido leer. 🤦"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","La NO EXCLUSIVIDAD, es también un modelo en la explotación de contenidos deportivos y puede marcar la tendencia a medio plazo. Buscando el momento y mercados adecuados. 👇👇. Amazon entra en LaLiga SmartBank, que transmitirán al menos 10 operadores."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Decían que eramos unos delincuentes e irresponsables por la operación con CVC.. Parece que la industria del fútbol se llena de delincuentes e irresponsables 😎(ironía). Inversiones por TODOS los clubes en infraestructura, digitalización...ES EL CAMINO💪."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","HERE WE GO! 🧤🚀 Con fuerza y motivación a por lo que viene ⚡💪🏼"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Las medidas cautelarisimas que se han tomado contra @user  se toman sin oír a la @user  nos opendremos a las mismas en el procedimiento, esperemos el final 👇. Nota informativa de LaLiga ante el comunicado del FC Barcelona sobre la inscripción de Gavi."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","El Pte de la RFEF ""RUBÍ"", graba Ministros, Secretarios de Estado, Pte de Laliga,pone espías al Pte del sindicato AFE, a periodistas, viaja con novia, hace ""trampas"" en comisiones...¿hasta cuando la pasividad del ""POLICIA""?¿Quién será el próximo espiado?"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Lo de Al-Khelaifi es otro nivel. Nos toma a todos por tontos (ni él se cree sus mentiras) y se presenta en @user a dar lecciones con soberbia y arrogancia de ""nuevo rico"". Las normas no existen para el @user . Seguiremos luchando por un fútbol sostenible y sin trampas."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Hacen que nos acostumbremos y parezca fácil pero lo que hacen nuestros clubes en Europa es Historia. ¡Gracias @user y @user por llevar el fútbol español a lo más alto! ¡Y enhorabuena al @user por la clasificación a la final de la ! Impresionante."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","¡Feliz día de nuestra Fiesta Nacional!. ¡Feliz día de la Hispanidad!. ¡Feliz día de la Virgen del Pilar!. ¡Feliz día de la Guardia Civil!. ¡Orgullosos de nuestra historia y tradiciones!. ¡Viva España!"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Muy llamativas las declaraciones que cita hoy @user en @user ⬇️. Lo que la Justicia les deniega y el resto de clubes les rechaza, lo intentan conseguir con lobbismo rancio impropio de esta época. Ya lo dijimos, es increíble el poder de una persona (o de un palco)."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Nuestro campeón de @user se corona en Europa. Toda esta [HASHTAG] habéis simbolizado la integridad y la Historia en momentos difíciles para el fútbol.. ¡¡¡Gracias y enhorabuena @user !!!"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Estadio de La Cerámica renovado en tiempo récord con una inversión de 50M de euros fruto del Plan Impulso/CVC, el @user se hace más grande y hace más grande a la competición de @user  TODOS los clubes tienen derecho a tener modernos estadios 👍."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Estimado @user , te paso los datos del raparto de tv del @user  comparado con clubes de la @user  sois perfectamente competitivos, @user ingresa menos, y vosotros como los grandes de la @user . Hay que informarse antes de ""rajar"". 👇👇"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Florentino Pérez a @user ""No podemos permitir que los jóvenes amen cada vez menos el fútbol porque los partidos que ofrecemos son menos atractivos"" Por favor 🙏, que alguien le diga a este hombre que eso es una FAKENEWS, de tanto repetir una mentira se la acaban creyendo👇"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Acertadisima apreciación de @user  (Ex directora general del CSD, ex alto cargo de la RFEF con funciones de integridad en la época de Rubiales...) sobre la decisión de hoy del presidente @user de no abrir expediente a Rubiales por prejudicialidad penal.👇👇👍👍"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Comenzamos una nueva TEMPORADA , de la liga de las auténticas ESTRELLAS y VALORES. 44 Clubes 💪💪."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Una pena que tras semejante operativo de espionaje con detectives y bolis-grabadora, Rubiales no deje a Inda publicar TODA la conversación del sábado con @user hablando de Supercopa, NY, [POLITICIAN] Magro, Córdoba, Fuenlabrada, Aganzo, vivienda o autoridades públicas espiadas"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Para escribir este artículo o los autores no se han leído todos los acuerdos con CVC u ocultan intencionadamente parte del mismo. Por cierto uno de ellos reconocido madridista. Ni discriminación con los futuros clubes, ni problemas de integridad.🤔. EL PAÍS."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Circula en las redes una declaraciones mías del 15-1- 2019 en el @user  las mismas están sesgadas, no reflejan el sentido de mi intervención.Los jugadores paran al final del partido y hablan sobre el partido, los otros temas son para rueda de prensa si el jugador desea👇"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","El proyecto [HASHTAG] avanza permitiendo adelantar décadas el crecimiento de la competición y de los clubes."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Si el ""avestruz"" es también el ""policia"", este se convierte en encubridor.¿Tendrá Rubiallejo más grabaciones de sus reuniones de alto nivel?🤦. El 'Gobierno avestruz' en la guerra Rubiales-Tebas: ""Los presidentes de club callamos por miedo a los árbitros""."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","En el [HASHTAG] hemos hablado de Fútbol y Economía junto a @user  Patricia Rodríguez, @user  Jaume Roures y @user . Son muchos los retos de la industria del fútbol y es importante que las decisiones políticas no perjudiquen este sector clave"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Hoy ha finalizado el juicio por el caso Jimmy. @user ha solicitado la reapertura del procedimiento separado por el homicidio de Jimmy con la imputación de cuatro acusados. Más información en el canal de Telegram de @user 👇👇."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Un artista que revolucionó las retransmisiones taurinas y del deporte sobre todo el fútbol. Sobre el albero de las Plazas de Toros y sobre el césped de los campos de fútbol, Victor Santamaria ha dejado auténticas obras de arte. Gracias por tanto. ."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Algunos NO saben el daño económico que harán al fútbol nacional, para ""beneficiar""a dos.¿por qué solo escuchan y creen al de siempre?Así nos va.. [POLITICAL_PARTY] y [POLITICAL_PARTY] retiran su ‘amenaza’ al Madrid cuatro días antes del anuncio clave de Florentino sobre la Superliga"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Para solucionar un problema sobre la interpretación de las manos, la primera máxima es saber que existe. Pérez Burrul (ex arbitro @user ),Iturralde (ex arbitro @user . ), @user (jugador @user . ),@user y otros ¿no saben nada? 🤔🤔."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Empezamos a reflexionar con sentido de una de las consecuencias de la SUPERLIGA. 👇👇."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","Se traspasa bar con licencia de apertura hasta las 5 am. Tiene una barra ideal para tertulianos con ideas disparatadas."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","En España, esto suena a prehistoria, con una diferencia, no hubo ley ni nada similar, la deuda del fútbol profesional con el estado en el 2013 era de más de 700 millones de euros con autogestion de los clubes se pagó. Durante el Covid no se generó nada. ."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","¡¡Enhorabuena a aficionados, jugadores, directivos y todos los estamentos del @user y el @user !!. Bienvenidos de nuevo a la máxima categoría de la mejor liga del mundo."
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","LaLiga le gana el ‘partido’ a Roja Directa: 2 años de prisión y 500.000 euros de multa por piratería via @user"
"00584645548f8443d0aad9f6c1a61f52","male","celebrity","right","right","LaLiga crece en EEUU🇺🇲. Un mercado estratégico, exigente y lleno de oportunidades ⬇️"
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","@user Ahora diga que yo critiqué esa afirmación y esos datos. Ande. Atrévase, ""gentuza mentirosa""."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Un difícil escenario energético y una respuesta equivocada. Lean a @user ."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","La inflación, el impuesto de los pobres. Hacienda aspira a recaudar 18.700 millones más en 2023 con una inflación del 5,7% y pese al frenazo del PIB"
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Los fabricantes de coches eléctricos, abocados a comprar minas de litio."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","@user Ninguna de esas cosas son causas de la inflación. La inflación es la pérdida de poder adquisitivo de la moneda. Los precios no suben todos a la vez si la cantidad de dinero es la misma."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Según Bloomberg Economics, los demócratas podrían perder 29 escaños en el congreso de EEUU por la situación económica. Interesante análisis."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","La patronal catalana impulsa un recurso de inconstitucionalidad contra el impuesto a las grandes fortunas. También reclama al Gobierno «respeto» hacia el empresariado y «prudencia» en sus manifestaciones públicas."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Un tercio de los contratos ""indefinidos"" firmados tras la reforma laboral de [POLITICIAN] son ""fijos discontinuos""."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","@user Aquí tienes lo que ha dicho de verdad y sin cortes."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Hay una “falta de información sistemática"" en la ejecución de los fondos europeos por parte del Gobierno. FMI."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","@user Ladrones, dejen de robar. Traficantes, dejen de traficar. Asesinos, dejen de asesinar. Torturadores, dejen de torturar. Se lo dice el Ministerio de Igualdad."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Cristina Fernández de Kirchner ejemplo de ""lucha contra los poderosos"" según Podemos. Fascinante."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","La Seguridad Social solo sumó cinco nuevos autónomos en 2022 y cerraron 20.000 pequeños comercios."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","El retroceso del paro es muy débil (-0,92% mensual). Los indicios apuntan a que la destrucción de empleo de carácter cíclico (post-verano) se adelantó a septiembre y en octubre se ha normalizado. Entre los jóvenes el paro sube un 0,88%."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Mañana a las 8am estaré de nuevo en CNBC para comentar las perspectivas macro y de mercados."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","El Banco de España desmonta con datos el relato de la acumulación de beneficios extraordinarios por parte de las empresas."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Hablamos de monedas digitales de bancos centrales, mercados, frenazo de China y estancamiento en España a pesar del mayor estímulo de la historia. Economix. Con @user . @user . @user ."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","@user Modere su obsesión anal. Seis millones de parados por las maravillosas políticas [POLITICAL_PARTY], gracias por recordarlo,"
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","El consumo de gas natural en Europa cae un 12% por debajo de los niveles típicos de diciembre y sigue cayendo en enero.. Las importaciones de GNL alcanzan nuevo récord, disparando los inventarios. Gracias a ello, el precio 2023-24 se queda en €64/MWh. via Morgan Stanley"
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","El Gobierno libera de su impuesto a la banca a medio centenar de entidades extranjeras. [POLITICAL_PARTY] y Podemos pactan con el [POLITICAL_PARTY] no aplicarlo a entidades supervisadas por el BCE que no ingresen más de 800 millones por comisiones e intereses en España."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","@user Dios de mi vida. ""Si el porcentaje de grasas de un alimento pasa de 5% a 12%, el incremento es de 7%"" [POLITICIAN]. Y si pasa de 1% a 2% es un aumento de 1%, claro 🙄"
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Cinco claves económicas destacadas en el momento actual. @user ."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Los mismos que hicieron una campaña injusta contra el INE por el cálculo del IPC ahora dicen que es perfecto. Los mismos. El cálculo es y era correcto. Solo el cambio de política hace complicada la comparación equivalente. Por eso se analiza más la subyacente (6,2%)"
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Sí. Los bancos centrales tienen que subir tipos y reducir el balance más, porque es mejor un mal año tras excesos encadenados que varios años de estanflación."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","La estadística de desempleo de noviembre no refleja al menos a otros 90.000 parados 'fantasma'. Randstad, Asempleo, CEOE y Cepyme denuncian también que las cifras de paro ""no son realistas""."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","@user Como decir que ""Stalin no mató a nadie. Cientos de soldados, sí"""
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","""Hacienda seguirá asfixiando a los contribuyentes con sus impuestos habituales, volverá a incrementar los que había bajado por la crisis energética e implantará algunos nuevos."". @user ."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","¿Cómo puede [HASHTAG] tener diez tipos ce cambio contra el dólar? La respuesta es sencilla. Todos esos tipos impuestos por el gobierno son formas de expropiación de la riqueza para confiscar los dólares de los exportadores y ciudadanos."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","El fiasco del 'sí es sí' tumba la estrategia de [POLITICIAN] de presentar sus leyes como argumento electoral. El Gobierno sufre en temas en los que se creía más fuerte: feminismo, migración y derechos, Cataluña (sedición) y corrupción. Por @user ."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","MAÑANA estaré en el especial fin de año que organiza @user con muchos invitados más.. 💥 30 de diciembre desde las 16:00 hasta las 22:00. ¡Te esperamos!."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Las monedas digitales de los bancos centrales son un peligroso experimento. Aquí explico por qué."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","[POLITICIAN] cambia la estadística de empleo ante el parón del mercado laboral."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","@user Hay dos. De septiembre y de 2022. De nada. Si a usted le parece que 11.000 okupaciones es poco..."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Es como decir que engordar 9 kilos tras engordar 4 es adelgazar..."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","@user Hace tiempo que se dedica usted a desinformar. Yo puse una noticia al ser publicada con su fuente y está borrada al confirmarse que era errónea. Ojalá hiciera eso usted una sola vez. Podría haberlo mencionado, pero usted a lo que se dedica es a la destrucción de carácter, triste."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","El expolio, lo primero. Cuánto se queda Hacienda de los premios de la Lotería de Navidad: los impuestos de cada premio."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","""Imprimiendo dinero para el pueblo"". Los bancos de [HASHTAG] no tienen suficiente espacio para almacenar pesos cada vez más devaluados."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","En el máximo reciente de coste de fletes y materias primas el IPC en España era 5% subyacente 3,3%. Tras disparar la cantidad de dinero en 2020 cuatro veces más que en el bazooka de Draghi y con tipos negativos, 6,3% subyacente. Pero no es un factor monetario porque patatas."
"0167c28202dbc457f06830360dc96437","male","journalist","right","moderate_right","Una estrategia de transición energética equivocada. Lean @user en @user ."
